BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
493,6.,1735–1736 or earlier,"song ""O Jesulein süß, o Jesulein mild"" (Schemelli #203; tune #16)",,V Bc,39: 302,III/2.1: 132,after Z 2016a; text by Thilo ,00563
494,6.,1735–1736 or earlier,"song ""O liebe Seele, zieh die Sinnen"" (Schemelli #575; tune #42)",,V Bc,39: 302,III/2.1: 182,→ Z 7787,00564
495,6.,1735–1736 or earlier,"song ""O wie selig seid ihr doch, ihr Frommen"" (Schemelli #894; tune #65)",,V Bc,39: 302,III/2.1: 228,after Z 1583; ↔ BWV 405; text by Dach,00565
496,6.,1735–1736 or earlier,"song ""Seelenbräutigam"" (Schemelli #472; tune #35)",,V Bc,39: 303,III/2.1: 168,after Z 3255a–b; ↔ BWV 409; text by Drese,00566
497,6.,1735–1736 or earlier,"song ""Seelenweide"" (Schemelli #710; tune #50)",,V Bc,39: 303,III/2.1: 198,after Z 1286; text by Drese,00567
499,6.,1735–1736 or earlier,"song ""Sei gegrüßet, Jesu gütig"" (Schemelli #293; tune #22)",,V Bc,39: 304,III/2.1: 143,after Z 3889b; ↔ BWV 410; text by Keymann,00569
498,6.,1735–1736 or earlier,"song ""Selig, wer an Jesum denkt"" (Schemelli #292; tune #21)",,V Bc,39: 304,III/2.1: 142,→ Z 4846,00568
500,6.,1735–1736 or earlier,"song ""So gehst du nun, mein Jesu hin"" (Schemelli #296; tune #23)",,V Bc,39: 304,III/2.1: 144,after Z 7631b; ↔ BWV 500a; text by Nachtenhöfer ,00570
501,6.,1735–1736 or earlier,"song ""So gibst du nun, mein Jesu, gute Nacht"" (Schemelli #315; tune #26)",,V Bc,39: 304,III/2.1: 150,after Z 849; ↔ BWV 412; text by Pfeiffer ,00572
502,6.,1735–1736 or earlier,"song ""So wünsch ich mir zu guter Letzt"" (Schemelli #901; tune #66)",,V Bc,39: 305,III/2.1: 230,↔ Z 5892; text by Rist,00573
503,6.,1735–1736 or earlier,"song ""Steh ich bei meinem Gott"" (Schemelli #945; tune #69)",,V Bc,39: 305,III/2.1: 236,after Z 5207; text by Herrnschmidt ,00574
504,6.,1735–1736 or earlier,"song ""Vergiss mein nicht, dass ich dein nicht vergesse"" (Schemelli #475; tune #36)",,V Bc,39: 306,III/2.1: 170,after Z 4779; text by Arnold,00575
505,6.,1735–1736 or earlier,"song ""Vergiss mein nicht, ..., Mein allerliebster Gott"" (Schemelli #627; tune #44)",,V Bc,39: 306,III/2.1: 186,text by Arnold; → Z 4233,00576
506,6.,1735–1736 or earlier,"song ""Was bist du doch, o Seele, so betrübt"" (Schemelli #779; tune #55)",A min.,V Bc,39: 307,III/2.1: 208,"after Z 1837; ↔ BWV 424; text by Schultt, R. F. ",00577
507,6.,1735–1736 or earlier,"song ""Wo ist mein Schäflein, das ich liebe"" (Schemelli #108; tune #6)",,V Bc,39: 308,III/2.1: 114,"after Z 5958a; text by Schultt, J. P. ",00578
508,6.,1718-11-16 (GHS) after 1733–1734 (AMB),"Notebook A. M. Bach (1725) No. 25: aria ""Bist du bei mir""",E♭ maj.,V Bc,432: 36 39: 309,V/4: 102,after Stölzel (Diomedes),00579
509,6.,1725–1733 (AMB),"Notebook A. M. Bach (1725) No. 41: aria ""Gedenke doch, mein Geist, zurücke""",,V Bc,432: 52 39: 310,V/4: 128,,00580
510,6.,1725–1733,"Notebook A. M. Bach (1725) No. 12: song ""Gib dich zufrieden und sei stille""",F maj.,V Bc,432: 30 39: 311,V/4: 91,,00581
511,6.,1725–1733,"Notebook A. M. Bach (1725) No. 13a: song ""Gib dich zufrieden und sei stille""",G min.,V Bc,432: 31 39: 287,V/4: 91,text by Gerhardt; → BWV 512,00582
512,6.,1725–1733,"Notebook A. M. Bach (1725) No. 13b: song ""Gib dich zufrieden und sei stille""",E min.,V Bc,432: 31 39: 287,V/4: 91,"after BWV 511; ↔ BWV 315, Z 7417a; text by Gerhardt",00583
513,6.,1725–1733 (AMB),"Notebook A. M. Bach (1725) No. 42: song ""O Ewigkeit, du Donnerwort""",,V Bc,432: 52 39: 301,V/4: 129,↔ BWV 397; text by Rist,00584
514,6.,1725–1733 (AMB),"Notebook A. M. Bach (1725) No. 35: song ""Schaffs mit mir, Gott""",,V Bc,432: 48 39: 303,V/4: 125,text by Schmolck,00585
515,6.,after 1733–1734,"Notebook A. M. Bach (1725) No. 20a: aria ""So oft ich meine Tobackspfeife""",D min.,V Bc,432: 34,V/4: 98,"by Bach, G. H.?; → BWV 515a",00586
515a,6.,after 1733–1734,"Notebook A. M. Bach (1725) No. 20b: aria ""So oft ich meine Tobackspfeife""",G min.,V Bc,432: 34 39: 309,V/4: 98,after BWV 515,00587
516,6.,after 1733–1734 (AMB),"Notebook A. M. Bach (1725) No. 33: aria ""Warum betrübst du dich""",,V Bc,432: 46 39: 307,V/4: 121,,00588
517,6.,after 1733–1734 (AMB),"Notebook A. M. Bach (1725) No. 40: song ""Wie wohl ist mir, o Freund der Seelen""",,V Bc,432: 51 39: 307,V/4: 128,text by Deßler ,00589
518,6.,after 1725,"Notebook A. M. Bach (1725) No. 37: aria ""Willst du dein Herz mir schenken"" a.k.a. ""Aria di G(i)ovannini""",,V Bc,432: 49 39: 311,V/4: 126,,00590
519,6.,c.1736?,"Five Hymns from SBB Bach P 802 No. 1: ""Hier lieg ich nun, o Vater aller Gnaden""",,V Bc,,,"by Krebs, J. L.?; in Spitta III, pp. 401–403",00591
520,6.,c.1736?,"Five Hymns from SBB Bach P 802 No. 2: ""Das walt mein Gott, Gott Vater, Sohn und heilger Geist""",,V Bc,,,"by Krebs, J. L.?; in Spitta III, pp. 401–403",00592
521,6.,c.1736?,"Five Hymns from SBB Bach P 802 No. 3: ""Gott, mein Herz dir Dank zusendet""",,V,,III/3,"by Krebs, J. L.?; in Spitta III, pp. 401–403",00593
522,6.,c.1736?,"Five Hymns from SBB Bach P 802 No. 4: ""Meine Seele, lass es gehen, wie es in der Welt jetzt geht""",,V,,,"by Krebs, J. L.?; in Spitta III, pp. 401–403",00594
523,6.,c.1736?,"Five Hymns from SBB Bach P 802 No. 5: ""Ich gnüge mich an meinem Stande""",,V,,,"by Krebs, J. L.?; in Spitta III, pp. 401–403",00595
524,6.,1707 – July 1708,Quodlibet (incomplete; wedding?),,SATB (SBBB) Bc,NBG 322,I/41: 69,,00596
7.,Works for organ (see also: List of organ compositions by Johann Sebastian Bach),Works for organ (see also: List of organ compositions by Johann Sebastian Bach),Works for organ (see also: List of organ compositions by Johann Sebastian Bach),Works for organ (see also: List of organ compositions by Johann Sebastian Bach),Works for organ (see also: List of organ compositions by Johann Sebastian Bach),Works for organ (see also: List of organ compositions by Johann Sebastian Bach),Works for organ (see also: List of organ compositions by Johann Sebastian Bach),Works for organ (see also: List of organ compositions by Johann Sebastian Bach),Up ↑
525,7.,1727–1731,Trio Sonata No. 1/6,E♭ maj.,Organ,15: 3,IV/7: 1,→ BWV 525a,00597
526,7.,1727–1731,Trio Sonata No. 2/6,C min.,Organ,15: 13,IV/7: 14,,00598
527,7.,1727–1731,Trio Sonata No. 3/6 (+e. v. for /1),D min.,Organ,15: 26,IV/7: 28,→ BWV 1044/2,00599
528,7.,1727–1731,"Trio Sonata No. 4/6 (+e. v. for /2, /3)",E min.,Organ,15: 40,IV/7: 44,after BWV 76/8,00600
529,7.,1727–1731,Trio Sonata No. 5/6 (+e. v. for /2),C maj.,Organ,15: 50,IV/7: 56,,00601
530,7.,1727–1731,Trio Sonata No. 6/6,G maj.,Organ,15: 66,IV/7: 76,,00602
531,7.,c. 1703–1706,Prelude and Fugue,C maj.,Organ,15: 81,IV/5: 3,in Möllersche Handschrift,00603
532.2,7.,c. 1708–1712,Prelude and Fugue,D maj.,Organ,15: 88,IV/5: 58,"after BWV 912/1, 532.1",00604
532.1,7.,,Fugue (early version),D maj.,Organ,,IV/6: 95,→ BWV 532.2/2,00605
533,7.,c.1704,"Prelude and Fugue (""Cathedral"")",E min.,Organ,15: 100,IV/5: 90,↔ BWV 533a,00606
533a,7.,,Prelude and Fugue,E min.,Keyboard,,IV/6: 106,↔ BWV 533,00607
535,7.,after 1717,Prelude and Fugue,G min.,Organ,15: 112,IV/5: 157,after BWV 535a,00609
535a,7.,c.1702–1704,Prelude and Fugue (incomplete),G min.,Organ,,IV/6: 109,→ BWV 535; in Möllersche Handschrift,00610
536,7.,1708–1717,Prelude and Fugue,A maj.,Organ,15: 120,IV/5: 180,↔ BWV 152/1; → 536a,00611
537,7.,1729–1750,Fantasia and Fugue,C min.,Organ,15: 129,IV/5: 47,,00613
538,7.,1712–1717,"Toccata and Fugue (""Dorian"")",D min.,Organ,15: 136,IV/5: 76,,00614
539,7.,1724–1750?,Prelude and Fugue,D min.,Organ,15: 148,IV/5: 70,"after BWV 1001/2, 1000",00615
540,7.,c.1712–1717?,Toccata and Fugue,F maj.,Organ,15: 154,IV/5: 112,,00616
541 528/3,7.,c.1712–1717?,Toccata and Fugue (Trio BWV 528/3 e. v. as possible middle movement),G maj.,Organ,15: 169,IV/5: 146,→ BWV 528/3,00617
542,7.,c.1714–1720?,"Fantasia and Fugue (""Great""; independent compositions?; fugue also in F minor)",G min.,Organ,15: 177,IV/5: 167,,00618
543,7.,after c.1730,Prelude and Fugue,A min.,Organ,15: 189,IV/5: 186,after BWV 543/1a,00619
543/1a,7.,bef. c.1725,Prelude,A min.,Organ,,IV/6: 121,→ BWV 543/1,00620
544,7.,1727–1731 (JSB),Prelude and Fugue,B min.,Organ,15: 199,IV/5: 198,,00621
545 529/2,7.,1708–1717 after 1722,Prelude and Fugue (middle movement BWV 529/2 e. v. removed after 1722),C maj.,Organ,15: 212,IV/5: 10,"after BWV 545a, b; → 529/2",00622
545a,7.,1708–1717,Prelude and Fugue (early version),C maj.,Organ,,IV/6: 77,"→ BWV 545b, 545",00623
546,7.,1708–1750,Prelude and Fugue,C min.,Organ,15: 218,IV/5: 35,,00625
547,7.,1719–1750,Prelude and Fugue,C maj.,Organ,15: 228,IV/5: 20,,00626
548,7.,1727–1731 (JSB),"Prelude and Fugue (""Wedge"")",E min.,Organ,15: 236,IV/5: 94,,00627
549,7.,1705–1750,Prelude and Fugue,C min.,Organ,38: 3,IV/5: 30,after BWV 549a,00628
549a,7.,bef. c.1703,Prelude (or: Fantasia) and Fugue,D min.,Organ,,IV/6: 101,→ BWV 549; in Möllersche Handschrift,00629
550,7.,c.1708–1712,Prelude and Fugue,G maj.,Organ,38: 9,IV/5: 138,,00630
551,7.,c.1699,Prelude and Fugue,A min.,Organ,38: 17,IV/6: 63,,00631
552,7.,1739,"Prelude and Fugue (""St Anne"") from Clavier-Übung III",E♭ maj.,Organ,"3: 173, 254","IV/4: 2, 105",,00632
562,7.,1720–c.1748,Fantasia and Fugue (unfinished fugue added c.1747–1748),C min.,Organ,"38: 64, 209 44: 4",IV/5: 54,,00642
563,7.,c.1704,Fantasia and Imitatio,C maj.,Organ,38: 59,IV/6: 68,in Andreas-Bach-Buch,00643
564,7.,1708–1717,"Toccata, Adagio and Fugue",C maj.,Organ,15: 253,IV/6: 3,,00644
565,7.,c.1704?,Toccata and Fugue,D min.,Organ,15: 267,IV/6: 31,,00645
566,7.,1703–1707,Prelude and Fugue (earliest manuscripts: C major; /1 as Toccata in BGA),E maj. C maj.,Organ,15: 276,IV/6: 40,,00646
569,7.,1703–c.1704,Prelude,A min.,Organ,38: 89,IV/6: 59,,00649
1121,7.,c.1708–1709,Fantasia,C min.,Organ,,IV/11: 54,in Andreas-Bach-Buch; was Anh. 205,01516
570,7.,c.1698–1704,Fantasia,C maj.,Organ,38: 62,IV/6: 16,in Andreas-Bach-Buch,00650
572,7.,1708–c.1712,"Fantasia, a.k.a. Pièce d'Orgue (+reworked version)",G maj.,Organ,38: 75,"IV/7: 130, 144",,00652
573,7.,c.1723–1724,Notebook A. M. Bach (1722) No. 6 Fantasia (incomplete?),C maj.,Keyboard,38: 209 432: 3,V/4: 39 IV/6: 18,,00653
574,7.,after c.1708?,Fugue on a theme by Legrenzi,C min.,Organ,38: 94,IV/6: 19,after BWV 574b; ↔ 574a,00654
574a,7.,after c.1708?,Fugue on a theme by Legrenzi (variant),C min.,Organ,38: 205,IV/6: 82,after BWV 574b; ↔ 574,00655
574b,7.,c.1707–1713 or earlier,Fugue on a theme by Legrenzi (early version),C min.,Organ,,IV/6: 88,"after Legrenzi (theme); → BWV 574a, 574; in Andreas-Bach-Buch",00656
575,7.,1708–1717?,Fugue,C min.,Organ,38: 101,IV/6: 26,,00657
578,7.,c.1713 or earlier,"Fugue (""Little"")",G min.,Organ,38: 116,IV/6: 55,in Andreas-Bach-Buch,00660
579,7.,c.1703–1707,Fugue on a theme by Corelli,B min.,Organ,38: 121,IV/6: 71,after Corelli (theme),00661
582,7.,c.1709–1710,Passacaglia (and Fugue),C min.,Organ,15: 289,IV/7: 98,in Andreas-Bach-Buch,00664
583,7.,c.1708–1717,Trio,D min.,Organ,38: 143,IV/7: 94,,00665
585,7.,c.1726–1727 (JSB),Trio,C min.,Organ,38: 219,IV/8: 73,"after Fasch J. F., FaWV N:c2/1, /2; arr. by Bach",00667
586,7.,bef. c.1740,Trio,G maj.,Organ,,IV/8: 78,after Telemann?,00668
587,7.,c.1714?,Aria,F maj.,Organ,38: 222,IV/8: 82,"after Couperin, Les NationsIII/4",00669
588,7.,c.1703–1707,Canzona,D min.,Organ,38: 126,IV/7: 118,in Möllersche Handschrift,00670
589,7.,bef. c.1742,Alla breve,D maj.,Organ,38: 131,IV/7: 114,,00671
590,7.,c.1723–1727 or later,Pastorella (/1 incomplete?),F maj.,Organ,38: 135,IV/7: 122,,00672
592,7.,c.1714–1717,Concerto for solo organ,G maj.,Organ,38: 149,IV/8: 56,"after J. E. of Saxe-Weimar, Concerto a 8; → BWV 592a",00674
592a,7.,c.1714–1717,Concerto for solo harpsichord,G maj.,Keyboard,42: 282,V/11: 150,after BWV 592,00675
593,7.,c.1714–1717,Concerto for solo organ,A min.,Organ,38: 158,IV/8: 16,"after Vivaldi, Op. 3 No. 8 (RV 522)",00676
594,7.,c.1714–1717,Concerto for solo organ,C maj.,Organ,38: 171,IV/8: 30,"after Vivaldi, RV 208, Grosso Mogul",00677
595,7.,c.1714–1717,Concerto for solo organ,C maj.,Organ,38: 196,IV/8: 65,after BWV 984/1,00678
596,7.,c.1714–1717,Concerto for solo organ (arrangement previously attributed to W. F. Bach),D min.,Organ,,IV/8: 3,"after Vivaldi, Op. 3 No. 11 (RV 565)",00679
599,7.,c.1711–1713,"chorale setting ""Nun komm, der Heiden Heiland"" (Orgelbüchlein No. 1)",A min.,Organ,252: 3,IV/1: 3,after Z 1174,00682
600,7.,c.1711–1713,"chorale setting ""Gott durch deine Güte"" (Orgelbüchlein No. 2)",F maj.,Organ,252: 4,IV/1: 4,after Z 3294,00683
600,7.,c.1711–1713,"chorale setting ""Gottes Sohn ist kommen"" (Orgelbüchlein No. 2)",F maj.,Organ,252: 4,IV/1: 4,after Z 3294,00683
601,7.,c.1708–1711 or earlier,"chorale setting ""Herr Christ, der ein'ge Gottes Sohn"" (Orgelbüchlein No. 3; also in Neumeister Collection)",A maj.,Organ,252: 5,IV/1: 6,after Z 4297a,00684
601,7.,c.1708–1711 or earlier,"chorale setting ""Herr Gott, nun sei gepreiset"" (Orgelbüchlein No. 3; also in Neumeister Collection)",A maj.,Organ,252: 5,IV/1: 6,after Z 4297a,00684
602,7.,c.1711–1713,"chorale setting ""Lob sei dem allmächtigen Gott"" (Orgelbüchlein No. 4)",D min.,Organ,252: 6,IV/1: 7,after Z 339,00685
603,7.,c.1711–1713,"chorale setting ""Puer natus in Bethlehem"" (Orgelbüchlein No. 5)",G min.,Organ,252: 6,IV/1: 8,after Z 192b,00686
604,7.,c.1711–1713,"chorale setting ""Gelobet seist du, Jesu Christ"" (Orgelbüchlein No. 6)",G maj.,Organ,252: 7,IV/1: 11,after Z 1947,00687
605,7.,c.1711–1713,"chorale setting ""Der Tag, der ist so freudenreich"" (Orgelbüchlein No. 7)",G maj.,Organ,252: 8,IV/1: 11,after Z 7870,00688
606,7.,c.1708–1711 or earlier,"chorale setting ""Vom Himmel hoch, da komm ich her"" (Orgelbüchlein No. 8)",D maj.,Organ,252: 9,IV/1: 13,after Z 346,00689
607,7.,c.1711–1713,"chorale setting ""Vom Himmel kam der Engel Schar"" (Orgelbüchlein No. 9)",G min.,Organ,252: 10,IV/1: 14,after Z 192a,00690
608,7.,c.1711–1713,"chorale setting ""In dulci jubilo"" (Orgelbüchlein No. 10)",A maj.,Organ,252: 12,IV/1: 16,after Z 4947,00691
609,7.,c.1711–1713,"chorale setting ""Lobt Gott, ihr Christen allzugleich"" (Orgelbüchlein No. 11)",G maj.,Organ,252: 13,IV/1: 18,after Z 198,00692
610,7.,c.1711–1713,"chorale setting ""Jesu, meine Freude"" (Orgelbüchlein No. 12)",C min.,Organ,252: 14,IV/1: 19,after Z 8032,00693
611,7.,c.1714–1716,"chorale setting ""Christum wir sollen loben schon"" (Orgelbüchlein No. 13)",E min.,Organ,252: 15,IV/1: 20,after Z 297c,00694
612,7.,c.1711–1713,"chorale setting ""Wir Christenleut"" (Orgelbüchlein No. 14)",G min.,Organ,252: 16,IV/1: 22,after Z 2072,00695
613,7.,c.1740,"chorale setting ""Helft mir Gotts Güte preisen"" (Orgelbüchlein No. 15)",B min.,Organ,252: 18,IV/1: 24,after Z 5267,00696
614,7.,c.1711–1713,"chorale setting ""Das alte Jahr vergangen ist"" (Orgelbüchlein No. 16)",A min.,Organ,252: 19,IV/1: 25,after Z 381c,00697
615,7.,c.1708–1711,"chorale setting ""In dir ist Freude"" (Orgelbüchlein No. 17)",G maj.,Organ,252: 20,IV/1: 27,after Z 8537,00698
616,7.,c.1714–1716,"chorale setting ""Mit Fried und Freud ich fahr dahin"" (Orgelbüchlein No. 18)",D min.,Organ,252: 24,IV/1: 30,after Z 3986,00699
617,7.,c.1714–1716,"chorale setting ""Herr Gott, nun schleuß den Himmel auf"" (Orgelbüchlein No. 19)",A min.,Organ,252: 26,IV/1: 32,after Z 7641b,00700
618,7.,c.1714–1716,"chorale setting ""O Lamm Gottes, unschuldig"" (Orgelbüchlein No. 20)",F maj.,Organ,252: 28,IV/1: 34,after Z 4361a,00701
619,7.,c.1714–1716,"chorale setting ""Christe, du Lamm Gottes"" (Orgelbüchlein No. 21)",F maj.,Organ,252: 30,IV/1: 36,after Z 58,00702
620,7.,c.1726,"chorale setting ""Christus, der uns selig macht"" (Orgelbüchlein No. 22)",A min.,Organ,252: 30,IV/1: 37,after BWV 620a,00703
620a,7.,c.1714–1716,"chorale setting ""Christus, der uns selig macht"" (Orgelbüchlein No. 22, e. v.)",A min.,Organ,252: 149,IV/1: 78,after Z 6283b; → BWV 620,00704
621,7.,c.1711–1713,"chorale setting ""Da Jesus an dem Kreuze stund"" (Orgelbüchlein No. 23)",A min.,Organ,252: 32,IV/1: 39,after Z 1706,00705
622,7.,c.1711–1713,"chorale setting ""O Mensch, bewein dein Sünde groß"" (Orgelbüchlein No. 24)",E♭ maj.,Organ,252: 33,IV/1: 40,after Z 8303; → BWV 622 (var.),00706
622 (var.),7.,1716–1789,"chorale setting ""O Mensch, bewein dein Sünde groß"" (variant)",,Organ,,,after BWV 622,00707
623,7.,c.1714–1716,"chorale setting ""Wir danken dir, Herr Jesu Christ"" (Orgelbüchlein No. 25)",G maj.,Organ,252: 35,IV/1: 42,after Z 423,00708
624,7.,c.1714–1716,"chorale setting ""Hilf Gott, dass mir's gelinge"" (Orgelbüchlein No. 26)",G min.,Organ,252: 36,IV/1: 44,after Z 4329,00709
625,7.,c.1708–1711 or earlier,"chorale setting ""Christ lag in Todesbanden"" (Orgelbüchlein No. 27)",D min.,Organ,252: 38,IV/1: 46,after Z 7012a,00710
626,7.,c.1711–1713,"chorale setting ""Jesus Christus, unser Heiland, der den Tod überwand"" (Orgelbüchlein No. 28)",A min.,Organ,252: 39,IV/1: 48,after Z 1978,00711
627,7.,c.1711–1713,"chorale setting ""Christ ist erstanden"" (Orgelbüchlein No. 29)",D min.,Organ,252: 40,IV/1: 49,after Z 8584,00712
628,7.,c.1711–1713,"chorale setting ""Erstanden ist der heilge Christ"" (Orgelbüchlein No. 30)",D maj.,Organ,252: 44,IV/1: 54,after Z 1747a,00713
629,7.,c.1711–1713,"chorale setting ""Erschienen ist der herrliche Tag"" (Orgelbüchlein No. 31)",D min.,Organ,252: 45,IV/1: 55,after Z 1743,00714
630,7.,c.1708–1711 or earlier,"chorale setting ""Heut triumphieret Gottes Sohn"" (Orgelbüchlein No. 32)",D min.,Organ,252: 46,IV/1: 56,after BWV 630a,00715
630a,7.,c.1708–1711 or earlier,"chorale setting ""Heut triumphieret Gottes Sohn"" (Orgelbüchlein No. 32, e. v.)",,Organ,,IV/1: 80,after Z 2585; → BWV 630,00716
631,7.,c.1726,"chorale setting ""Komm, Gott Schöpfer, heiliger Geist"" (Orgelbüchlein No. 33)",D min.,Organ,252: 47,IV/1: 58,after BWV 631a,00717
631a,7.,c.1711–1713,"chorale setting ""Komm, Gott Schöpfer, heiliger Geist"" (Orgelbüchlein No. 33, e. v.)",G maj.,Organ,252: 150,IV/1: 82,after Z 295; → BWV 631,00718
632,7.,c.1711–1713,"chorale setting ""Herr Jesu Christ, dich zu uns wend"" (Orgelbüchlein No. 34)",F maj.,Organ,252: 48,IV/1: 59,after Z 624,00719
633,7.,c.1711–1713,"chorale setting ""Liebster Jesu, wir sind hier"" distinctus (Orgelbüchlein No. 36)",A maj.,Organ,252: 49,IV/1: 61,after BWV 634,00720
634,7.,c.1711–1713,"chorale setting ""Liebster Jesu, wir sind hier"" (Orgelbüchlein No. 35)",A maj.,Organ,252: 50,IV/1: 60,after Z 3498b; → BWV 633,00721
635,7.,c.1711–1713,"chorale setting ""Dies sind die heilgen zehn Gebot"" (Orgelbüchlein No. 37)",C maj.,Organ,252: 50,IV/1: 62,after Z 1951,00722
636,7.,c.1711–1713,"chorale setting ""Vater unser im Himmelreich"" (Orgelbüchlein No. 38)",D min.,Organ,252: 52,IV/1: 64,after Z 2561,00723
637,7.,c.1711–1713,"chorale setting ""Durch Adams Fall ist ganz verderbt"" (Orgelbüchlein No. 39)",A min.,Organ,252: 53,IV/1: 65,after Z 7549,00724
